ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001350,HY190985,3/19/2015 18:15,057XX S EMERALD AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,711,7,20,68,26,1172284,1866736,2015,2/10/2018 15:50,41.78976789,-87.64382241,"(41.789767893, -87.643822407)"
10001352,HY190940,3/19/2015 16:45,010XX N LARAMIE AVE,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1524,15,37,25,20,1141505,1906391,2015,2/10/2018 15:50,41.89920884,-87.75570338,"(41.89920884, -87.755703376)"
10001353,HY190807,3/19/2015 16:50,036XX W IRVING PARK RD,820,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,1732,17,33,16,6,1151505,1926339,2015,2/10/2018 15:50,41.95375722,-87.71844789,"(41.953757223, -87.718447888)"
10001354,HY191024,3/19/2015 17:30,059XX N RAVENSWOOD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2012,20,40,77,08B,1163314,1939392,2015,2/10/2018 15:50,41.98933448,-87.67466781,"(41.989334479, -87.674667806)"
10001356,HY190942,3/18/2015 22:00,056XX N WESTERN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2012,20,40,4,7,1159307,1937402,2015,2/10/2018 15:50,41.98395746,-87.68946119,"(41.983957457, -87.689461194)"
10001357,HY190849,3/16/2015 13:43,051XX N PAULINA ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2032,20,47,3,6,1164064,1934362,2015,2/10/2018 15:50,41.97551613,-87.67205204,"(41.975516129, -87.672052035)"
10001359,HY191003,3/19/2015 17:45,092XX S BISHOP ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2222,22,21,73,18,1168289,1843459,2015,2/10/2018 15:50,41.72597968,-87.65913976,"(41.725979677, -87.659139757)"
10001360,HY191026,3/19/2015 18:33,052XX W ADAMS ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,1522,15,29,25,26,1141548,1898831,2015,2/10/2018 15:50,41.87846248,-87.75573235,"(41.878462484, -87.755732349)"
10001361,HY190928,3/19/2015 17:36,063XX S WESTERN AVE,460,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,825,8,15,66,08B,1161459,1862643,2015,2/10/2018 15:50,41.77876753,-87.68362799,"(41.778767526, -87.683627986)"
10001362,HY191035,3/19/2015 19:00,036XX S RHODES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,FALSE,FALSE,212,2,4,35,14,1180179,1881011,2015,2/10/2018 15:50,41.82876229,-87.61443616,"(41.828762287, -87.614436164)"
10001363,HY190868,3/19/2015 15:30,103XX S MORGAN ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2232,22,34,73,08B,1171471,1836439,2015,2/10/2018 15:50,41.70664678,-87.64768865,"(41.706646782, -87.647688654)"
10001364,HY191023,3/19/2015 16:45,050XX S KEDZIE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,821,8,14,63,6,1155898,1870955,2015,2/10/2018 15:50,41.80169033,-87.70379207,"(41.80169033, -87.703792065)"
10001365,HY190907,3/19/2015 15:15,057XX S JUSTINE ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,713,7,16,67,5,1166989,1866663,2015,2/10/2018 15:50,41.78968246,-87.66323968,"(41.789682463, -87.663239684)"
10001366,HY190909,3/19/2015 7:00,070XX S MORGAN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,733,7,17,68,14,1170859,1858210,2015,2/10/2018 15:50,41.76640278,-87.64929612,"(41.766402779, -87.649296123)"
10001367,HY191034,3/19/2015 19:02,0000X E 61ST ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,311,3,20,40,08A,1177560,1864578,2015,2/10/2018 15:50,41.78372838,-87.62454223,"(41.783728383, -87.624542227)"
10001369,HY190946,3/19/2015 17:30,060XX S WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,FALSE,FALSE,825,8,15,66,14,1161408,1864468,2015,2/10/2018 15:50,41.78377663,-87.68376442,"(41.783776633, -87.683764415)"
10001370,HY190813,3/19/2015 15:00,103XX S MORGAN ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2232,22,34,73,08B,1171471,1836439,2015,2/10/2018 15:50,41.70664678,-87.64768865,"(41.706646782, -87.647688654)"
10001371,HY190980,3/19/2015 18:17,046XX W IRVING PARK RD,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1722,17,45,15,6,1144295,1926174,2015,2/10/2018 15:50,41.95344334,-87.74495705,"(41.953443342, -87.744957048)"
10001375,HY190900,3/6/2015 14:00,056XX S MARSHFIELD AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,715,7,15,67,11,1166305,1867292,2015,2/10/2018 15:50,41.79142312,-87.6657298,"(41.791423117, -87.6657298)"
10001376,HY190820,3/14/2015 11:00,017XX W 106TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2212,22,19,72,14,1166623,1834372,2015,2/10/2018 15:50,41.70107915,-87.66550062,"(41.70107915, -87.665500623)"
10001377,HY190732,3/18/2015 15:50,042XX N MONTICELLO AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1723,17,33,16,08B,1151294,1928021,2015,2/10/2018 15:50,41.9583769,-87.71917924,"(41.958376903, -87.719179238)"
10001378,HY190969,3/19/2015 17:30,008XX E 79TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,TRUE,FALSE,624,6,6,69,18,1183364,1852811,2015,2/10/2018 15:50,41.75130534,-87.60362891,"(41.751305337, -87.603628907)"
10001379,HY190924,3/19/2015 17:02,028XX E 77TH PL,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,TRUE,FALSE,421,4,7,43,26,1196828,1854267,2015,2/10/2018 15:50,41.75497676,-87.55424256,"(41.754976764, -87.55424256)"
10001380,HY191036,3/19/2015 18:58,002XX S WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1225,12,2,28,18,1160442,1898882,2015,2/10/2018 15:50,41.87823255,-87.68635588,"(41.878232554, -87.686355881)"
10001382,HY190467,3/19/2015 11:56,100XX S OGLESBY AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,431,4,7,51,04A,1193815,1838862,2015,2/10/2018 15:50,41.71277842,-87.56578759,"(41.712778416, -87.565787592)"
10001383,HY190898,3/19/2015 17:00,015XX N KINGSBURY ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1822,18,32,8,6,1169505,1910252,2015,2/10/2018 15:50,41.90924028,-87.65274758,"(41.909240284, -87.65274758)"
10001384,HY190947,3/19/2015 17:40,075XX S STONY ISLAND AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,411,4,5,43,6,1188123,1855151,2015,2/10/2018 15:50,41.75761443,-87.58611527,"(41.757614433, -87.586115266)"
10001386,HY191017,3/18/2015 23:30,048XX N CHRISTIANA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,1713,17,39,14,26,1153175,1931906,2015,2/10/2018 15:50,41.96900039,-87.7121604,"(41.969000391, -87.712160399)"
10001387,HY190905,3/17/2015 23:30,075XX S WENTWORTH AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,623,6,17,69,5,1176257,1854892,2015,2/10/2018 15:50,41.7571783,-87.62961003,"(41.7571783, -87.629610031)"
10001388,HY190851,3/19/2015 16:00,042XX W NORTH AVE,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,2534,25,30,23,08B,1147465,1910287,2015,2/10/2018 15:50,41.90978767,-87.73371218,"(41.909787665, -87.733712179)"
10001389,HY190974,3/19/2015 18:00,092XX S COTTAGE GROVE AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,BARBERSHOP,FALSE,FALSE,633,6,9,44,04A,1183176,1843968,2015,2/10/2018 15:50,41.72704354,-87.60459223,"(41.727043538, -87.604592232)"
10001391,HY190765,11/1/2014 2:00,046XX W PETERSON AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1711,17,39,12,6,1144898,1939488,2014,2/10/2018 15:50,41.98996659,-87.74240274,"(41.989966585, -87.742402743)"
10001392,HY190410,8/6/2014 10:00,015XX S DRAKE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,1021,10,24,29,2,1152954,1892279,2014,2/10/2018 15:50,41.8602648,-87.71402517,"(41.860264796, -87.714025166)"
10001394,HY190891,3/19/2015 16:12,068XX S WESTERN AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,TRUE,FALSE,832,8,17,66,04B,1161557,1859142,2015,2/10/2018 15:50,41.76915826,-87.68336571,"(41.769158261, -87.683365712)"
10001395,HY191006,3/19/2015 18:20,075XX S ESSEX AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,421,4,7,43,26,1194174,1855396,2015,2/10/2018 15:50,41.75814037,-87.56393152,"(41.758140368, -87.563931522)"
10001399,HY191089,3/19/2015 10:00,042XX S KEDZIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,921,9,14,58,11,1155712,1876523,2015,2/10/2018 15:50,41.8169734,-87.70432475,"(41.816973404, -87.704324749)"
10001402,HY191076,3/19/2015 19:01,052XX W JACKSON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1522,15,29,25,18,1141592,1898171,2015,2/10/2018 15:50,41.87665055,-87.7555871,"(41.876650547, -87.755587101)"
10001403,HY191071,3/19/2015 19:00,022XX N LATROBE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE-GARAGE,TRUE,FALSE,2515,25,37,19,26,1141022,1914305,2015,2/10/2018 15:50,41.92093466,-87.75728223,"(41.920934657, -87.757282227)"
10001404,HY190825,3/19/2015 16:20,098XX S COMMERCIAL AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,431,4,10,51,08B,1197841,1840285,2015,2/10/2018 15:50,41.71658383,-87.55099606,"(41.716583826, -87.550996058)"
10001406,HY190914,3/19/2015 17:05,051XX S RACINE AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,TRUE,FALSE,934,9,16,61,3,1169191,1870802,2015,2/10/2018 15:50,41.80099297,-87.65504587,"(41.80099297, -87.65504587)"
10001407,HY191081,3/19/2015 19:25,016XX N LAMON AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,2533,25,37,25,18,1143245,1910293,2015,2/10/2018 15:50,41.90988404,-87.74921473,"(41.909884036, -87.749214726)"
10001408,HY191053,3/19/2015 19:25,010XX E 132ND ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,533,5,9,54,08A,1185722,1818032,2015,2/10/2018 15:50,41.6558123,-87.59607916,"(41.655812299, -87.596079156)"
10001410,HY191055,3/19/2015 18:00,033XX W 38TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,911,9,12,58,14,1154765,1878876,2015,2/10/2018 15:50,41.82344931,-87.70773578,"(41.823449314, -87.707735775)"
